UNKNOWN
version=1
nRows=100
nColumns=4
inDegrees=no
endheader
time	EL_x	bic_b_1	bic_b_2
      0.00000000	      4.99999985	      0.02676207	      0.02676207
      1.00000000	      6.36363621	      0.02774972	      0.02774972
      2.00000000	      7.72727258	      0.02872710	      0.02872710
      3.00000000	      9.09090894	      0.02969379	      0.02969379
      4.00000000	     10.45454531	      0.03064938	      0.03064938
      5.00000000	     11.81818167	      0.03159345	      0.03159345
      6.00000000	     13.18181803	      0.03252560	      0.03252560
      7.00000000	     14.54545440	      0.03344540	      0.03344540
      8.00000000	     15.90909076	      0.03435243	      0.03435243
      9.00000000	     17.27272712	      0.03524626	      0.03524626
     10.00000000	     18.63636349	      0.03612648	      0.03612648
     11.00000000	     19.99999985	      0.03699266	      0.03699266
     12.00000000	     21.36363621	      0.03784437	      0.03784437
     13.00000000	     22.72727258	      0.03868119	      0.03868119
     14.00000000	     24.09090894	      0.03950267	      0.03950267
     15.00000000	     25.45454530	      0.04030838	      0.04030838
     16.00000000	     26.81818167	      0.04109790	      0.04109790
     17.00000000	     28.18181803	      0.04187077	      0.04187077
     18.00000000	     29.54545439	      0.04262657	      0.04262657
     19.00000000	     30.90909076	      0.04336485	      0.04336485
     20.00000000	     32.27272712	      0.04408516	      0.04408516
     21.00000000	     33.63636349	      0.04478707	      0.04478707
     22.00000000	     34.99999985	      0.04547011	      0.04547011
     23.00000000	     36.36363621	      0.04613385	      0.04613385
     24.00000000	     37.72727258	      0.04677783	      0.04677783
     25.00000000	     39.09090894	      0.04740160	      0.04740160
     26.00000000	     40.45454530	      0.04800470	      0.04800470
     27.00000000	     41.81818167	      0.04858669	      0.04858669
     28.00000000	     43.18181803	      0.04914709	      0.04914709
     29.00000000	     44.54545439	      0.04968546	      0.04968546
     30.00000000	     45.90909076	      0.05020134	      0.05020134
     31.00000000	     47.27272712	      0.05069426	      0.05069426
     32.00000000	     48.63636348	      0.05116376	      0.05116376
     33.00000000	     49.99999985	      0.05160939	      0.05160939
     34.00000000	     51.36363621	      0.05203068	      0.05203068
     35.00000000	     52.72727257	      0.05242718	      0.05242718
     36.00000000	     54.09090894	      0.05279841	      0.05279841
     37.00000000	     55.45454530	      0.05314393	      0.05314393
     38.00000000	     56.81818166	      0.05346328	      0.05346328
     39.00000000	     58.18181803	      0.05375599	      0.05375599
     40.00000000	     59.54545439	      0.05402161	      0.05402161
     41.00000000	     60.90909076	      0.05425970	      0.05425970
     42.00000000	     62.27272712	      0.05446980	      0.05446980
     43.00000000	     63.63636348	      0.05465146	      0.05465146
     44.00000000	     64.99999985	      0.05480426	      0.05480426
     45.00000000	     66.36363621	      0.05492774	      0.05492774
     46.00000000	     67.72727257	      0.05502148	      0.05502148
     47.00000000	     69.09090894	      0.05508505	      0.05508505
     48.00000000	     70.45454530	      0.05511803	      0.05511803
     49.00000000	     71.81818166	      0.05512003	      0.05512003
     50.00000000	     73.18181803	      0.05509062	      0.05509062
     51.00000000	     74.54545439	      0.05502943	      0.05502943
     52.00000000	     75.90909075	      0.05493606	      0.05493606
     53.00000000	     77.27272712	      0.05481016	      0.05481016
     54.00000000	     78.63636348	      0.05465135	      0.05465135
     55.00000000	     79.99999984	      0.05445931	      0.05445931
     56.00000000	     81.36363621	      0.05423369	      0.05423369
     57.00000000	     82.72727257	      0.05397418	      0.05397418
     58.00000000	     84.09090894	      0.05368050	      0.05368050
     59.00000000	     85.45454530	      0.05335236	      0.05335236
     60.00000000	     86.81818166	      0.05298950	      0.05298950
     61.00000000	     88.18181803	      0.05259170	      0.05259170
     62.00000000	     89.54545439	      0.05215873	      0.05215873
     63.00000000	     90.90909075	      0.05169041	      0.05169041
     64.00000000	     92.27272712	      0.05118659	      0.05118659
     65.00000000	     93.63636348	      0.05064711	      0.05064711
     66.00000000	     94.99999984	      0.05007189	      0.05007189
     67.00000000	     96.36363621	      0.04946084	      0.04946084
     68.00000000	     97.72727257	      0.04881393	      0.04881393
     69.00000000	     99.09090893	      0.04813114	      0.04813114
     70.00000000	    100.45454530	      0.04741252	      0.04741252
     71.00000000	    101.81818166	      0.04665812	      0.04665812
     72.00000000	    103.18181802	      0.04586805	      0.04586805
     73.00000000	    104.54545439	      0.04504246	      0.04504246
     74.00000000	    105.90909075	      0.04418154	      0.04418154
     75.00000000	    107.27272712	      0.04328552	      0.04328552
     76.00000000	    108.63636348	      0.04235469	      0.04235469
     77.00000000	    109.99999984	      0.04138937	      0.04138937
